date,day_index,laspeyres_apix,fisher_index,paasche_index,tornqvist_index,walsh_index,spot_t1_index,dgca_benchmark_yield,daily_pct_change,bps_transport,bps_headline,raw_quotes,valid_quotes,outliers
2026-07-20,1,98.68,98.61,98.54,98.61,98.69,91.75,96.96,0.0,0.0,0.0,909,495,60
2026-07-21,2,100.83,100.79,100.75,100.79,100.84,105.29,101.21,2.1776,8.3838,0.7202,909,507,39
2026-07-22,3,106.0,105.96,105.93,105.97,106.0,113.55,105.06,5.1252,19.7321,1.695,890,486,54
2026-07-23,4,118.24,118.2,118.16,118.2,118.24,141.96,117.74,11.5447,44.4472,3.818,909,504,55
2026-07-24,5,117.18,117.09,116.99,117.09,117.2,110.31,116.93,-0.8949,-3.4453,-0.2959,908,494,52
2026-07-25,6,120.4,120.26,120.12,120.26,120.43,140.97,120.5,2.7508,10.5906,0.9097,907,493,58
2026-07-26,7,118.22,118.17,118.12,118.17,118.23,119.1,117.42,-1.8101,-6.9689,-0.5986,904,492,46
2026-07-27,8,105.3,105.28,105.26,105.28,105.3,103.33,102.4,-10.928,-42.0729,-3.6141,909,506,48
2026-07-28,9,102.0,101.95,101.9,101.95,102.01,105.29,102.13,-3.132,-12.0584,-1.0358,907,497,53
2026-07-29,10,107.76,107.72,107.68,107.72,107.77,113.45,107.18,5.6468,21.7403,1.8675,895,489,53
2026-07-30,11,117.4,117.31,117.22,117.31,117.42,135.06,116.98,8.9461,34.4425,2.9586,898,465,67
2026-07-31,12,119.56,119.5,119.43,119.49,119.57,113.96,120.56,1.8396,7.0823,0.6084,892,499,35
2026-08-01,13,118.54,118.47,118.4,118.47,118.56,137.16,118.87,-0.8499,-3.2722,-0.2811,912,500,58
2026-08-02,14,116.42,116.35,116.28,116.35,116.43,120.48,116.61,-1.7894,-6.8892,-0.5918,923,505,52
2026-08-03,15,103.8,103.76,103.71,103.76,103.81,102.28,103.63,-10.8395,-41.7319,-3.5848,892,483,57
2026-08-04,16,101.55,101.51,101.47,101.51,101.56,105.7,101.51,-2.165,-8.3352,-0.716,875,488,42
2026-08-05,17,106.82,106.77,106.72,106.77,106.83,115.15,105.5,5.1904,19.9829,1.7165,902,503,47
2026-08-06,18,116.73,116.66,116.59,116.66,116.75,129.66,116.93,9.2811,35.7321,3.0694,906,494,54
2026-08-07,19,117.24,117.19,117.14,117.19,117.25,115.14,115.96,0.4406,1.6964,0.1457,862,474,50
2026-08-08,20,116.95,116.88,116.82,116.88,116.96,140.98,116.15,-0.2468,-0.95,-0.0816,888,488,49
2026-08-09,21,110.56,110.47,110.38,110.47,110.57,109.42,108.8,-5.465,-21.0404,-1.8074,902,501,57
2026-08-10,22,102.55,102.51,102.46,102.51,102.56,105.11,103.19,-7.2407,-27.8767,-2.3946,876,472,55
2026-08-11,23,98.83,98.77,98.71,98.77,98.84,100.1,101.16,-3.6271,-13.9644,-1.1995,936,495,63
2026-08-12,24,106.46,106.41,106.35,106.41,106.47,111.49,107.14,7.7183,29.7154,2.5526,900,500,47
2026-08-13,25,115.26,115.21,115.17,115.21,115.26,128.51,111.48,8.2624,31.8102,2.7325,916,497,50
2026-08-14,26,116.88,116.84,116.8,116.84,116.89,115.04,117.31,1.4042,5.4062,0.4644,901,498,42
2026-08-15,27,117.22,117.15,117.07,117.15,117.24,140.99,116.8,0.2928,1.1274,0.0968,883,484,51
2026-08-16,28,114.26,114.2,114.15,114.2,114.27,116.36,114.56,-2.5285,-9.7348,-0.8362,890,484,59
2026-08-17,29,103.12,103.04,102.95,103.03,103.14,98.92,104.69,-9.7474,-37.5275,-3.2236,932,517,45
2026-08-18,30,101.43,101.38,101.33,101.38,101.44,102.54,101.75,-1.6394,-6.3116,-0.5422,899,497,53
2026-08-19,31,106.9,106.85,106.8,106.85,106.91,107.66,108.02,5.3956,20.7731,1.7844,906,484,53
2026-08-20,32,117.71,117.65,117.58,117.65,117.72,132.4,118.3,10.1123,38.9323,3.3443,909,474,62
2026-08-21,33,118.09,117.98,117.86,117.98,118.11,113.18,116.44,0.3227,1.2424,0.1067,865,481,50
2026-08-22,34,119.49,119.44,119.39,119.44,119.5,136.96,120.75,1.1832,4.5552,0.3913,923,494,56
2026-08-23,35,117.35,117.31,117.27,117.31,117.35,121.1,118.5,-1.7929,-6.9027,-0.5929,870,495,49
