Rank,Route_Code,Origin_IATA,Destination_IATA,Origin_City,Destination_City,Annual_Passengers_2024,Annual_Passengers_2025,Monthly_Avg_Passengers,DGCA_Volume_Share_Pct,Distance_KM,Avg_Seat_Load_Factor_PLF_Pct,Lead_Carrier,Lead_Carrier_Share_Pct
1,DEL-BOM,DEL,BOM,New Delhi,Mumbai,2364000,2482000,206833,10.92,1148,89.4,IndiGo,62.5
2,BOM-DEL,BOM,DEL,Mumbai,New Delhi,2322000,2438000,203167,10.73,1148,88.9,IndiGo,62.1
3,DEL-BLR,DEL,BLR,New Delhi,Bengaluru,1742000,1829000,152417,8.05,1708,91.2,IndiGo,64.0
4,BLR-DEL,BLR,DEL,Bengaluru,New Delhi,1698000,1783000,148583,7.85,1708,90.8,IndiGo,63.8
5,BOM-BLR,BOM,BLR,Mumbai,Bengaluru,1263000,1326000,110500,5.84,842,87.6,IndiGo,61.2
6,BLR-BOM,BLR,BOM,Bengaluru,Mumbai,1244000,1306000,108833,5.75,842,87.2,IndiGo,61.0
7,DEL-CCU,DEL,CCU,New Delhi,Kolkata,1078000,1132000,94333,4.98,1305,88.5,IndiGo,63.5
8,CCU-DEL,CCU,DEL,Kolkata,New Delhi,1058000,1111000,92583,4.89,1305,88.1,IndiGo,63.1
9,DEL-HYD,DEL,HYD,New Delhi,Hyderabad,995000,1045000,87083,4.60,1253,89.1,IndiGo,62.8
10,HYD-DEL,HYD,DEL,Hyderabad,New Delhi,974000,1023000,85250,4.50,1253,88.7,IndiGo,62.4
11,BLR-HYD,BLR,HYD,Bengaluru,Hyderabad,870000,914000,76167,4.02,501,86.4,IndiGo,65.2
12,HYD-BLR,HYD,BLR,Hyderabad,Bengaluru,851000,893000,74417,3.93,501,86.0,IndiGo,64.8
13,MAA-DEL,MAA,DEL,Chennai,New Delhi,788000,827000,68917,3.64,1756,87.9,IndiGo,61.5
14,DEL-MAA,DEL,MAA,New Delhi,Chennai,766000,804000,67000,3.54,1756,87.4,IndiGo,61.2
15,BOM-GOI,BOM,GOI,Mumbai,Goa,725000,761000,63417,3.35,435,92.8,IndiGo,60.5
16,GOI-BOM,GOI,BOM,Goa,Mumbai,706000,741000,61750,3.26,435,92.4,IndiGo,60.2
17,DEL-PNQ,DEL,PNQ,New Delhi,Pune,602000,632000,52667,2.78,1173,89.3,IndiGo,66.1
18,PNQ-DEL,PNQ,DEL,Pune,New Delhi,580000,609000,50750,2.68,1173,88.9,IndiGo,65.8
19,BOM-CCU,BOM,CCU,Mumbai,Kolkata,517000,543000,45250,2.39,1654,86.8,IndiGo,63.0
20,CCU-BOM,CCU,BOM,Kolkata,Mumbai,497000,522000,43500,2.30,1654,86.4,IndiGo,62.7
