Month,Year,Transport_Combined,Transport_Urban,Transport_Rural,Headline_CPI_Combined,Headline_CPI_Urban,Headline_CPI_Rural,Airfare_SubGroup_Index,YoY_Inflation_Transport_Pct,YoY_Inflation_Headline_Pct
2024-01,2024,166.4,161.2,172.1,185.2,183.1,187.1,158.4,2.82,5.10
2024-02,2024,166.8,161.5,172.5,185.8,183.6,187.8,159.1,2.68,5.09
2024-03,2024,167.2,162.0,172.9,186.4,184.2,188.4,160.2,2.75,4.85
2024-04,2024,168.1,162.8,173.8,187.1,185.0,189.1,161.5,2.94,4.83
2024-05,2024,168.9,163.6,174.6,187.9,185.7,189.9,162.8,3.12,4.75
2024-06,2024,169.5,164.2,175.2,188.6,186.4,190.6,163.9,3.25,5.08
2024-07,2024,170.2,164.9,175.9,189.4,187.2,191.4,165.1,3.40,3.54
2024-08,2024,170.8,165.5,176.5,190.1,187.9,192.1,166.0,3.48,3.65
2024-09,2024,171.2,165.9,176.9,190.7,188.5,192.7,166.7,3.55,5.49
2024-10,2024,171.9,166.6,177.6,191.5,189.3,193.5,167.8,3.62,6.21
2024-11,2024,172.3,167.0,178.0,192.0,189.8,194.0,168.4,3.58,5.48
2024-12,2024,172.7,167.3,178.5,192.5,190.2,194.6,169.1,3.60,5.22
2025-01,2025,173.1,167.7,178.9,193.1,190.8,195.2,169.8,4.03,5.12
2025-02,2025,173.5,168.1,179.3,193.6,191.3,195.7,170.4,4.02,5.05
2025-03,2025,174.0,168.6,179.8,194.2,191.9,196.3,171.2,4.07,4.89
2025-04,2025,174.5,169.1,180.3,194.8,192.5,196.9,172.0,3.81,4.83
2025-05,2025,175.4,170.0,181.2,195.5,193.2,197.6,173.5,3.85,4.75
2025-06,2025,175.9,170.5,181.7,196.1,193.8,198.2,174.2,3.78,4.68
2025-07,2025,176.5,171.1,182.3,196.8,194.5,198.9,175.1,3.70,4.60
2025-08,2025,177.0,171.6,182.8,197.3,195.0,199.4,175.8,3.63,4.52
2025-09,2025,177.4,172.0,183.2,197.8,195.5,199.9,176.4,3.62,4.48
2025-10,2025,178.1,172.7,183.9,198.5,196.2,200.6,177.5,3.61,4.55
2025-11,2025,178.6,173.2,184.4,199.1,196.8,201.2,178.2,3.66,4.62
2025-12,2025,179.1,173.7,184.9,199.6,197.3,201.7,178.9,3.71,4.58
2026-01,2026,179.6,174.2,185.4,200.2,197.9,202.3,179.6,3.75,4.45
2026-02,2026,180.0,174.6,185.8,200.7,198.4,202.8,180.2,3.75,4.40
2026-03,2026,180.5,175.1,186.3,201.3,199.0,203.4,181.0,3.74,4.35
2026-04,2026,181.0,175.6,186.8,201.9,199.6,204.0,181.7,3.72,4.30
2026-05,2026,181.6,176.2,187.4,202.6,200.3,204.7,182.6,3.53,4.25
2026-06,2026,182.1,176.7,187.9,203.2,200.9,205.3,183.3,3.52,4.20
2026-07,2026,182.7,177.3,188.5,203.8,201.5,205.9,184.1,3.51,4.18
